交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
38,多头出场,2024-07-31 21:02,卖,2420.87,1594.7,3805400.716,55160.67,1.45,62496.29,1.64,-4497.05,-0.12,293712.16,14.69
38,多头进场,2024-07-30 13:02,买 ,2386.28,1594.7,3805400.716,55160.67,1.45,62496.29,1.64,-4497.05,-0.12,293712.16,14.69
39,多头出场,2024-08-06 23:02,卖,2388.9,1619.1,3899602.35,-31734.36,-0.81,15964.33,0.41,-35830.68,-0.92,261977.81,13.10
39,多头进场,2024-08-06 04:02,买 ,2408.5,1619.1,3899602.35,-31734.36,-0.81,15964.33,0.41,-35830.68,-0.92,261977.81,13.10
40,多头出场,2024-08-08 04:02,卖,2386.04,1606.6,3845188.242,-11776.38,-0.31,21994.35,0.57,-15246.63,-0.40,250201.44,12.51
40,多头进场,2024-08-07 13:02,买 ,2393.37,1606.6,3845188.242,-11776.38,-0.31,21994.35,0.57,-15246.63,-0.40,250201.44,12.51
41,多头出场,2024-08-09 12:02,卖,2421.44,1597.6,3825197.584,43294.96,1.13,55101.22,1.44,-2955.56,-0.08,293496.4,14.67
41,多头进场,2024-08-08 12:02,买 ,2394.34,1597.6,3825197.584,43294.96,1.13,55101.22,1.44,-2955.56,-0.08,293496.4,14.67
42,多头出场,2024-09-04 16:02,卖,2482.54,1564,3898066.68,-15374.12,-0.39,7116.2,0.18,-18752.36,-0.48,278122.28,13.91
42,多头进场,2024-09-04 06:02,买 ,2492.37,1564,3898066.68,-15374.12,-0.39,7116.2,0.18,-18752.36,-0.48,278122.28,13.91
43,多头出场,2024-09-06 01:02,卖,2510.34,1551.8,3872516.9,23028.71,0.59,43403.85,1.12,-10909.15,-0.28,301150.97,15.06
43,多头进场,2024-09-04 22:02,买 ,2495.5,1551.8,3872516.9,23028.71,0.59,43403.85,1.12,-10909.15,-0.28,301150.97,15.06
44,多头出场,2024-09-10 17:02,卖,2501.56,1566.7,3911924.564,7269.49,0.19,16983.03,0.43,-5859.46,-0.15,308420.47,15.42
44,多头进场,2024-09-09 18:02,买 ,2496.92,1566.7,3911924.564,7269.49,0.19,16983.03,0.43,-5859.46,-0.15,308420.47,15.42
45,多头出场,2024-10-09 12:02,卖,2616.28,1498.6,3924054.128,-3296.92,-0.08,509.52,0.01,-5275.07,-0.13,305123.56,15.26
45,多头进场,2024-10-09 11:02,买 ,2618.48,1498.6,3924054.128,-3296.92,-0.08,509.52,0.01,-5275.07,-0.13,305123.56,15.26
