time,open,high,low,close,Volume
2024-06-06T00:00:00+08:00,18929.730000000003,18992.230000000003,18919.230000000003,18989.230000000003,87761
2024-06-06T02:00:00+08:00,18989.230000000003,19044.11,18970.36,19042.230000000003,103537
2024-06-06T04:00:00+08:00,19042.230000000003,19054.710000000003,19015.33,19052.030000000002,14958
2024-06-06T06:00:00+08:00,19052.030000000002,19074.010000000002,19038.260000000002,19057.13,12071
2024-06-06T08:00:00+08:00,19057.13,19074.260000000002,19034.13,19065.010000000002,21366
2024-06-06T10:00:00+08:00,19065.010000000002,19077.13,19059.38,19065.88,13999
2024-06-06T12:00:00+08:00,19065.88,19066.88,19047.63,19051.510000000002,12248
2024-06-06T14:00:00+08:00,19051.510000000002,19069.63,19039.88,19059.260000000002,26737
2024-06-06T16:00:00+08:00,19059.260000000002,19074.760000000002,19039.010000000002,19047.760000000002,25444
2024-06-06T18:00:00+08:00,19047.760000000002,19067.38,19045.760000000002,19063.88,19005
2024-06-06T20:00:00+08:00,19063.88,19089.13,18999.030000000002,19000.530000000002,147598
2024-06-06T22:00:00+08:00,19000.530000000002,19073.16,18998.91,19029.780000000002,171229
2024-06-07T00:00:00+08:00,19029.780000000002,19057.16,19002.030000000002,19038.91,108413
2024-06-07T02:00:00+08:00,19038.91,19044.280000000002,18984.16,19032.16,142410
2024-06-07T04:00:00+08:00,19032.16,19036.760000000002,19010.760000000002,19034.83,11968
2024-06-07T06:00:00+08:00,19034.83,19045.77,19024.02,19040.9,7398
2024-06-07T08:00:00+08:00,19040.9,19052.4,19033.02,19047.27,15737
2024-06-07T10:00:00+08:00,19047.27,19054.52,19044.15,19047.52,9960
2024-06-07T12:00:00+08:00,19047.52,19065.9,19047.52,19058.27,9750
2024-06-07T14:00:00+08:00,19058.27,19068.15,19038.27,19046.27,21384
2024-06-07T16:00:00+08:00,19046.27,19061.27,19036.27,19044.02,26561
2024-06-07T18:00:00+08:00,19044.02,19063.4,19017.9,19053.02,25413
2024-06-07T20:00:00+08:00,19053.02,19065.15,18905.52,18998.420000000002,191500
2024-06-07T22:00:00+08:00,18998.420000000002,19083.170000000002,18981.300000000003,19049.420000000002,177774
2024-06-08T00:00:00+08:00,19049.420000000002,19121.050000000003,19036.920000000002,19080.550000000003,134848
2024-06-08T02:00:00+08:00,19080.550000000003,19082.300000000003,18962.920000000002,19006.420000000002,259695
2024-06-08T04:00:00+08:00,19006.420000000002,19010.9,18982.52,18985.850000000002,12511
2024-06-10T06:00:00+08:00,18985.850000000002,19032.31,18982.06,18999.940000000002,17959
2024-06-10T08:00:00+08:00,18999.940000000002,19012.940000000002,18987.940000000002,19011.56,18539
2024-06-10T10:00:00+08:00,19011.56,19023.56,19005.06,19015.440000000002,9501
2024-06-10T12:00:00+08:00,19015.440000000002,19024.190000000002,19009.690000000002,19016.81,10721
2024-06-10T14:00:00+08:00,19016.81,19017.06,18965.56,18992.81,45216
2024-06-10T16:00:00+08:00,18992.81,18994.440000000002,18947.06,18972.81,36618
2024-06-10T18:00:00+08:00,18972.81,19012.31,18968.190000000002,18998.56,29694
2024-06-10T20:00:00+08:00,18998.56,19008.190000000002,18950.960000000003,18967.210000000003,110944
2024-06-10T22:00:00+08:00,18967.210000000003,19086.59,18961.460000000003,19061.460000000003,150586
2024-06-11T00:00:00+08:00,19061.460000000003,19094.59,19027.460000000003,19074.960000000003,106544
2024-06-11T02:00:00+08:00,19074.960000000003,19102.960000000003,19007.34,19086.09,163634
2024-06-11T04:00:00+08:00,19086.09,19087.440000000002,19055.940000000002,19080.010000000002,10625
2024-06-11T06:00:00+08:00,19080.010000000002,19081.5,19051.5,19060.5,9103
2024-06-11T08:00:00+08:00,19060.5,19072.120000000003,19053.870000000003,19070.620000000003,21579
2024-06-11T10:00:00+08:00,19070.620000000003,19071.120000000003,19054.5,19066.370000000003,14536
2024-06-11T12:00:00+08:00,19066.370000000003,19081.75,19062.25,19081.120000000003,11027
2024-06-11T14:00:00+08:00,19081.120000000003,19089.120000000003,19058,19071.25,24647
2024-06-11T16:00:00+08:00,19071.25,19078,19023.870000000003,19024.370000000003,37659
2024-06-11T18:00:00+08:00,19024.370000000003,19041.5,19005,19027.620000000003,41373
2024-06-11T20:00:00+08:00,19027.620000000003,19063.4,18970.77,19008.27,134674
2024-06-11T22:00:00+08:00,19008.27,19112.9,19001.9,19053.77,198052
2024-06-12T00:00:00+08:00,19053.77,19141.9,19050.4,19140.4,110610
2024-06-12T02:00:00+08:00,19140.4,19223.4,19127.9,19218.52,126082
2024-06-12T04:00:00+08:00,19218.52,19232.870000000003,19202.75,19224.07,12742
2024-06-12T06:00:00+08:00,19224.07,19247.460000000003,19211.460000000003,19234.34,9348
2024-06-12T08:00:00+08:00,19234.34,19243.960000000003,19216.09,19233.710000000003,18779
2024-06-12T10:00:00+08:00,19233.710000000003,19244.710000000003,19229.460000000003,19244.460000000003,12688
2024-06-12T12:00:00+08:00,19244.460000000003,19246.09,19232.210000000003,19243.960000000003,9649
2024-06-12T14:00:00+08:00,19243.960000000003,19253.59,19218.710000000003,19230.09,22709
2024-06-12T16:00:00+08:00,19230.09,19251.460000000003,19222.960000000003,19245.210000000003,22721
2024-06-12T18:00:00+08:00,19245.210000000003,19255.460000000003,19238.09,19247.460000000003,21236
2024-06-12T20:00:00+08:00,19247.460000000003,19483.24,19241.09,19469.11,181767
2024-06-12T22:00:00+08:00,19469.11,19524.86,19458.49,19493.61,178365
2024-06-13T00:00:00+08:00,19493.61,19515.24,19469.11,19493.41,91279
2024-06-13T02:00:00+08:00,19493.41,19566.99,19411.61,19470.11,386397
2024-06-13T04:00:00+08:00,19470.11,19590.210000000003,19441.84,19587.530000000002,23175
2024-06-13T06:00:00+08:00,19587.530000000002,19587.530000000002,19560.38,19577.5,7847
2024-06-13T08:00:00+08:00,19577.5,19602.13,19575.13,19598.5,12781
2024-06-13T10:00:00+08:00,19598.5,19615.38,19588.5,19614.13,9086
2024-06-13T12:00:00+08:00,19614.13,19617.5,19596.75,19603.88,6893
2024-06-13T14:00:00+08:00,19603.88,19648.75,19598.63,19632.88,19466
2024-06-13T16:00:00+08:00,19632.88,19637.63,19561.13,19574.38,25311
2024-06-13T18:00:00+08:00,19574.38,19606.38,19561.75,19586.63,23243
2024-06-13T20:00:00+08:00,19586.63,19662.25,19585,19608.9,155498
2024-06-13T22:00:00+08:00,19608.9,19628.15,19512.530000000002,19565.4,223412
2024-06-14T00:00:00+08:00,19565.4,19566.65,19477.9,19545.65,132885
2024-06-14T02:00:00+08:00,19545.65,19610.030000000002,19525.780000000002,19570.280000000002,114139
2024-06-14T04:00:00+08:00,19570.280000000002,19615.88,19566.25,19584.95,18259
2024-06-14T06:00:00+08:00,19584.95,19599.13,19568.63,19595,9163
2024-06-14T08:00:00+08:00,19595,19605.88,19588.25,19604,14385
2024-06-14T10:00:00+08:00,19604,19620,19600.5,19616.5,9553
2024-06-14T12:00:00+08:00,19616.5,19623,19607.13,19622.5,7103
2024-06-14T14:00:00+08:00,19622.5,19634.5,19584.38,19617,35081
2024-06-14T16:00:00+08:00,19617,19630.88,19531.88,19532.63,52757
2024-06-14T18:00:00+08:00,19532.63,19543,19477.88,19514.63,75198
2024-06-14T20:00:00+08:00,19514.63,19620.95,19509.63,19615.280000000002,149604
2024-06-14T22:00:00+08:00,19615.280000000002,19625.280000000002,19540.15,19594.4,236965
2024-06-15T00:00:00+08:00,19594.4,19652.780000000002,19577.780000000002,19633.9,116626
2024-06-15T02:00:00+08:00,19633.9,19668.530000000002,19605.780000000002,19664.15,137961
2024-06-15T04:00:00+08:00,19664.15,19675.63,19655.13,19669.58,10130
2024-06-17T06:00:00+08:00,19669.58,19710.15,19655.4,19696.4,14570
2024-06-17T08:00:00+08:00,19696.4,19702.030000000002,19669.780000000002,19686.030000000002,15003
2024-06-17T10:00:00+08:00,19686.030000000002,19691.780000000002,19679.530000000002,19685.530000000002,10237
2024-06-17T12:00:00+08:00,19685.530000000002,19692.4,19672.030000000002,19685.530000000002,8885
2024-06-17T14:00:00+08:00,19685.530000000002,19718.530000000002,19660.030000000002,19703.530000000002,36554
2024-06-17T16:00:00+08:00,19703.530000000002,19733.280000000002,19680.15,19701.530000000002,32071
2024-06-17T18:00:00+08:00,19701.530000000002,19708.65,19676.780000000002,19702.030000000002,23682
2024-06-17T20:00:00+08:00,19702.030000000002,19705.65,19625.93,19675.800000000003,115715
2024-06-17T22:00:00+08:00,19675.800000000003,19744.93,19651.050000000003,19735.43,158842
2024-06-18T00:00:00+08:00,19735.43,19952.550000000003,19727.93,19948.18,132426
2024-06-18T02:00:00+08:00,19948.18,19986.18,19901.43,19910.68,169854
2024-06-18T04:00:00+08:00,19910.68,19911.65,19878.65,19899.980000000003,16190
2024-06-18T06:00:00+08:00,19899.980000000003,19934.300000000003,19899.980000000003,19920.420000000002,12834
2024-06-18T08:00:00+08:00,19920.420000000002,19921.300000000003,19874.800000000003,19881.420000000002,22998
2024-06-18T10:00:00+08:00,19881.420000000002,19911.420000000002,19879.800000000003,19901.050000000003,13591
2024-06-18T12:00:00+08:00,19901.050000000003,19909.300000000003,19890.170000000002,19907.670000000002,9872
2024-06-18T14:00:00+08:00,19907.670000000002,19931.170000000002,19903.550000000003,19920.170000000002,29245
